Symbols,SystemInstrument,Fortrade,GCM
#RBS.L,_t -> EntityPartVariableSpread; MinSpread -> 20; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
#SKY,_t -> EntityPartVariableSpread; MinSpread -> 50; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
#ABI.BR,_t -> EntityPartVariableSpread; MinSpread -> 90; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
#APPLE,_t -> EntityPartVariableSpread; MinSpread -> 26; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#COCA-COLA,_t -> EntityPartVariableSpread; MinSpread -> 13; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#LINKEDIN,_t -> EntityPartVariableSpread; MinSpread -> 0; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
#TSLA,_t -> EntityPartVariableSpread; MinSpread -> 60; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#YANDEX,_t -> EntityPartVariableSpread; MinSpread -> 31; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#VERIZON,_t -> EntityPartVariableSpread; MinSpread -> 13; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#DTE.DE,_t -> EntityPartVariableSpread; MinSpread -> 17; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#ENG,_t -> EntityPartVariableSpread; MinSpread -> 7; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#DBK,_t -> EntityPartVariableSpread; MinSpread -> 17; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#GLE,_t -> EntityPartVariableSpread; MinSpread -> 9; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
30Y_T-BOND,_t -> EntityPartVariableSpread; MinSpread -> 7; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
#ANTO,_t -> EntityPartVariableSpread; MinSpread -> 60; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
#HL,_t -> EntityPartVariableSpread; MinSpread -> 200; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
#IAG,_t -> EntityPartVariableSpread; MinSpread -> 20; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
#SDR,_t -> EntityPartVariableSpread; MinSpread -> 200; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Instrument Does Not Exist
